Unnamed: 0,question
0,你可唔可以俾個有關潮樂園 (北角)嘅解釋我？佢係間潮州菜嚟。
1,你可唔可以俾個有關Andō嘅解釋我？佢係間創新菜嚟。
2,你可唔可以俾個有關Racines嘅解釋我？佢係間法國菜嚟。
3,你可唔可以俾個有關Sushi Wadatsumi嘅解釋我？佢係間壽司嚟。
5,你可唔可以俾個有關L'Atelier de Joël Robuchon嘅解釋我？佢係間法國菜嚟。
6,你可唔可以俾個有關浙江軒嘅解釋我？佢係間浙江菜嚟。
7,你可唔可以俾個有關悅嘅解釋我？佢係間粵菜嚟。
8,你可唔可以俾個有關廚魔名人坊嘅解釋我？佢係間粵菜嚟。
9,你可唔可以俾個有關麥文記嘅解釋我？佢係間麵食嚟。
10,你可唔可以俾個有關紅磡雞蛋仔嘅解釋我？佢係間街頭小吃嚟。
11,你可唔可以俾個有關Heimat嘅解釋我？佢係間德國菜嚟。
12,你可唔可以俾個有關阿純山東餃子嘅解釋我？佢係間餃子嚟。
13,你可唔可以俾個有關好湯好麵 (大圍)嘅解釋我？佢係間麵食嚟。
14,你可唔可以俾個有關國金軒 (尖沙咀)嘅解釋我？佢係間粵菜嚟。
15,你可唔可以俾個有關全記海鮮 (海傍街)嘅解釋我？佢係間海鮮嚟。
17,你可唔可以俾個有關添好運 (深水埗)嘅解釋我？佢係間點心嚟。
18,你可唔可以俾個有關Épure嘅解釋我？佢係間法國菜嚟。
19,你可唔可以俾個有關Ăn Chơi嘅解釋我？佢係間越南菜嚟。
20,你可唔可以俾個有關德記嘅解釋我？佢係間潮州菜嚟。
21,你可唔可以俾個有關石記廚房嘅解釋我？佢係間粵菜嚟。
22,你可唔可以俾個有關波記嘅解釋我？佢係間燒味嚟。
23,你可唔可以俾個有關美味廚嘅解釋我？佢係間粵菜嚟。
24,你可唔可以俾個有關Yardbird嘅解釋我？佢係間雞肉串燒嚟。
25,你可唔可以俾個有關文華廳嘅解釋我？佢係間粵菜嚟。
26,你可唔可以俾個有關祥興記 (尖沙咀)嘅解釋我？佢係間街頭小吃嚟。
27,你可唔可以俾個有關陸羽茶室嘅解釋我？佢係間粵菜嚟。
28,你可唔可以俾個有關佳佳甜品嘅解釋我？佢係間街頭小吃嚟。
29,你可唔可以俾個有關劉森記麵家 (福榮街)嘅解釋我？佢係間麵食嚟。
30,你可唔可以俾個有關香宮嘅解釋我？佢係間粵菜嚟。
31,你可唔可以俾個有關Tate嘅解釋我？佢係間創新菜嚟。
32,你可唔可以俾個有關萬豪金殿嘅解釋我？佢係間粵菜嚟。
33,你可唔可以俾個有關Twist & Buckle (Tsim Sha Tsui)嘅解釋我？佢係間街頭小吃嚟。
34,你可唔可以俾個有關鼎泰豐 (銅鑼灣)嘅解釋我？佢係間滬菜嚟。
35,你可唔可以俾個有關利苑酒家 (灣仔)嘅解釋我？佢係間粵菜嚟。
36,你可唔可以俾個有關壹玖捌叁嘅解釋我？佢係間中國菜嚟。
37,你可唔可以俾個有關竹家嘅解釋我？佢係間日本菜嚟。
38,你可唔可以俾個有關Noi by Paulo Airaudo嘅解釋我？佢係間意大利菜嚟。
39,你可唔可以俾個有關港灣壹號嘅解釋我？佢係間粵菜嚟。
40,你可唔可以俾個有關坤記煲仔小菜 (皇后大道西)嘅解釋我？佢係間粵菜嚟。
41,你可唔可以俾個有關海德花園嘅解釋我？佢係間海鮮嚟。
